Designator,Mid X,Mid Y,Layer,Rotation
C1,44.000000,-101.000000,Top,0.0000
C2,58.000000,-101.000000,Top,0.0000
C3,62.000000,-92.500000,Top,0.0000
C4,90.000000,-89.000000,Top,0.0000
C5,62.000000,-85.800000,Top,0.0000
C6,90.000000,-85.500000,Top,0.0000
C7,66.500000,-85.800000,Top,0.0000
C8,62.000000,-89.000000,Top,0.0000
C9,66.500000,-88.500000,Top,180.0000
C10,86.000000,-86.000000,Top,0.0000
C11,86.000000,-89.000000,Top,0.0000
C12,96.000000,-95.000000,Top,0.0000
C13,101.000000,-95.000000,Top,0.0000
C14,96.000000,-85.000000,Top,0.0000
C15,96.000000,-81.000000,Top,0.0000
C16,100.000000,-81.000000,Top,0.0000
C17,50.000000,-68.000000,Top,0.0000
C18,50.000000,-65.000000,Top,0.0000
C19,50.000000,-62.000000,Top,0.0000
C20,72.000000,-101.000000,Top,0.0000
C21,86.000000,-101.000000,Top,0.0000
D1,56.000000,-86.000000,Top,90.0000
D2,50.000000,-53.000000,Top,0.0000
D3,54.000000,-53.000000,Top,0.0000
D4,58.000000,-53.000000,Top,0.0000
D5,62.000000,-53.000000,Top,0.0000
D6,66.000000,-53.000000,Top,0.0000
D7,70.000000,-53.000000,Top,0.0000
D8,74.000000,-53.000000,Top,0.0000
D9,78.000000,-53.000000,Top,0.0000
D10,39.000000,-50.000000,Top,180.0000
D11,39.000000,-53.000000,Top,180.0000
J1,37.000000,-85.000000,Top,90.0000
J2,87.880000,-70.000000,Top,180.0000
J3,92.000000,-49.000000,Top,270.0000
J4,85.000000,-49.000000,Top,270.0000
J5,99.000000,-49.000000,Top,270.0000
L1,102.000000,-85.000000,Top,0.0000
Q1,50.000000,-85.000000,Top,270.0000
R1,48.000000,-79.000000,Top,0.0000
R2,52.000000,-79.000000,Top,0.0000
R3,106.000000,-90.000000,Top,90.0000
R4,106.000000,-94.000000,Top,90.0000
R5,91.000000,-81.000000,Top,0.0000
R6,91.000000,-78.000000,Top,0.0000
R7,44.000000,-68.000000,Top,0.0000
R8,44.000000,-65.000000,Top,0.0000
R9,70.000000,-65.000000,Top,0.0000
R10,70.000000,-62.000000,Top,0.0000
R11,70.000000,-59.000000,Top,0.0000
R12,74.000000,-59.000000,Top,0.0000
R13,44.000000,-62.000000,Top,0.0000
R14,58.000000,-50.000000,Top,0.0000
R15,62.000000,-50.000000,Top,0.0000
R16,50.000000,-50.000000,Top,0.0000
R17,54.000000,-50.000000,Top,0.0000
R18,66.000000,-50.000000,Top,0.0000
R19,70.000000,-50.000000,Top,0.0000
R20,43.000000,-50.000000,Top,0.0000
R21,43.000000,-53.000000,Top,0.0000
R22,74.000000,-50.000000,Top,0.0000
RS1,86.000000,-82.425000,Top,0.0000
RS2,66.000000,-82.425000,Top,180.0000
U1,76.000000,-86.000000,Top,270.0000
U2,60.000000,-64.000000,Top,270.0000
U3,96.000000,-90.000000,Top,270.0000
